"nid","title"
"345","Präparation und Eingliederung einer verblendeten Keramikteilkrone an Zahn 16 - GKV"
"346","Präparation und Eingliederung einer Metallischen Vollkrone an Zahn 16 - GKV"
"349","Präparation und Eingliederung einer Metallischen Vollkrone mit geg. Stiftaufbau an Zahn 16 - GKV"
"353","Präparation und Eingliederung einer Vollverblendenten Metallkeramikkrone an Zahn 16 - GKV"
"356","Präparation und Eingliederung einer Metallischen Teilkrone an Zahn 16 - GKV"
"425","Insertion eines Implantates 45 - PKV"
"426","Insertion eines Implantates 26 mit internen Sinuslift – PKV;"
"432","Aufbissbehelf mit adjustierter Oberfläche K1a - GKV"
"433","Aufbissbehelf mit adjustierter Oberfläche K1b - GKV"
"435","Aufbissbehelf mit adjustierter Oberfläche K1c - GKV"
"436","Unterfütterung einer UK Aufbissschiene  - GKV"
"466","Anfertigung einer Miniplastschiene - GKV"
"467","Aufbissbehelf ohne adjustierte Oberfläche K2 - GKV"
"468","Umarbeitung einer vorhandenen Prothese zum Aufbissbehelf - GKV"
"469","Anfertigung, Kontrolle und Entfernung einer semipermanenten Schiene - GKV"
"470","Wiederherstellung einer UK Aufbissschiene  - GKV"
"471","Verschiedene Arten der Schienenkontrollen - GKV"
"473","Funktionsanalyse beim GKV-Patienten - Information"
"480","Umarbeitung der vorhandenen OK Prothese zur Verbandsplatte nach chirurgischem Eingriff - PKV"
"483","Anfertigung einer Miniplastschiene - PKV"
"489","Insertion eines Implantates 16 mit externem Sinuslift - PKV"
"490","Insertion eines Implantates 45 mit Bone Splitting - PKV"
"491","Insertion eines Implantates 36 mit Augmentation - PKV"
"492","Externer Sinuslift und Augmentation mit Knochenblock - PKV"
"493","Interimsprothese zum Ersatz von 12 und 22 - PKV"
"494","Interimsprothese zum Ersatz der Zähne 12 und 22 - GKV"
"495","Coverdentureprothese im UK mit Metallbasis und Teleskopkronen 34,33 und 44 vollverblendet - GKV"
"496","Totale Prothese im OK mit Stützstiftregistrat - GKV"
"556","Anfertigung einer Miniplastschiene bei akutem Schmerzzustand - PKV"
"558","Aufbissbehelf mit adjustierter Oberfläche - PKV"
"567","Umarbeitung einer vorhandenen Prothese zum Aufbissbehelf - PKV"
"569","Unterfütterung einer UK Aufbissschiene - PKV"
"573","UK Totale Prothese mit FAL - PKV"
"574","Anfertigung, Kontrolle und Entfernung einer semipermanenten Schiene - PKV"
"577","Permanente Funktionsschiene (analog) mit FAL - PKV"
"583","Präparation und Eingliederung von Teleskopkronen auf 33,34,43,44 mit UK Modellgussprothese - PKV"
"589","Funktionsanalyse und Therapie bei funktioneller Zahn- Kiefergelenk- und Muskelerkrankungen und Anfertigung eines Aufbissbehelfs mit adjustierter Oberfläche - PKV"
"595","Coverdenture Prothese auf 13,23 Wurzelstiftkappen, Supra - PKV"
"601","Provisorische Versorgung der zu entfernenden Zähne 12-22 mit laborgefertigten Langzeitprovisorium 14-24, mindestens 3 Monate - PKV"
"604","Präparation und Einsetzen einer vollverblendete Metallkeramikbrücke 14-16, adhäsiv - PKV"
"605","Metallkeramikkrone vollverblendet auf Implantat 16, zementiert - PKV"
"606","Präparieren und Einsetzen einer vollverblendeten Metallkeramikkrone am Zahn 16 - PKV"
"607","Präparation und Eingliederung einer bemalten Keramikteilkrone an Zahn 16 - PKV"
"608","Nachträgliches einarbeiten eines gegossenen Stiftaufbaus unter der vorhandene Krone 16 - GKV"
"609","Wiederbefestigung Krone 14 - GKV"
"610","Wiederbefestigung der Brücke von 11-13 - GKV"
"615","Vollständige Unterfütterung einer partiellen Prothese im OK - GKV"
"616","Vollständige Unterfütterung der OK totalen Prothese mit funktioneller Randgestaltung - GKV"
"617","Sprungreparatur einer Prothese, ohne Abformung - GKV"
"618","Bruchreparatur der UK Totalprothese mit Abformung - GKV"
"619","Präparation und Eingliederung von OK Brücken bei einer Befundsituation für eine Modellgussprothese - GKV"
"620","direkte und indirekte Überkappungen der Zähne 34-36 - GKV"
"628","Mehrkostenvereinbarung GKV: geschichtete vierflächige Kompositefüllung am Zahn 25"
"629","Mehrkostenvereinbarung GKV: Komposite-Aufbaufüllung am Zahn 25 - dreiflächig"
"631","Mehrkostenvereinbarung GKV: geschichtete dreiflächigen Kompositefüllung 35 mit Kofferdam"
"650","verschiedene Möglichkeiten der adhäsive Befestigungen an Zahn 16 - PKV"
