"nid","title"
"472","Intraorales Foto zur Diagnostik, je Aufnahme"
"578","Anästhesie einer Zahnfleischtasche "
"579","Computergesteuerte Anästhesie „The Wand“"
"581","Elektroanalgesie/-anästhesie"
"582"," Analgesie durch Akupunktur"
"584","Analogsedierung, Grundgebühr"
"586","Anwendung von Hypnose"
"587","Autogenes Training"
"591","Computergestützte Auswertung der optisch-elektronischen Abformung zur Diagnose und Planung"
"592","Extraorale Leitungsanästhesie"
"594","Fluoreszenz-Kariesdiagnostik mittels Laser, je Zahn"
"596","Galvanische Mundstrommessung"
"597","Anwendung kinesiologischer Testverfahren"
"599","Materialtestung"
"600","Messung des „foeter ex ore“"
"602","Begleitende und aufklärende Hilfestellung zur Beeinflussung des Rauchverhaltens"
"603","Sensibilitätsmessung eines Nervenversorgungsgebietes"
"621","aMMP-8 Schnelltest"
"622","Antimykotische Prothesenlackierung"
"623","Anwendung bakterienreduzierender Lacke als Therapiekonzept (z.B. Cervitec)"
"624","Individuelle Medikamentenschiene zur Parodontalbehandlung"
"625","Bestimmung der Speichelfließrate, Sekretionsrate"
"626","Biochemischer Speicheltest"
"627","Fissurensterilisation eines Zahnes mittels Laser"
"630","Sterilisation des Fissurensystems bzw. einer Dentinoberfläche mittels Ozon, je Zahn"
"632","Kariesmonitoring"
"633","DMFT/DMFS Karies-Index"
"634","Keimreduktion mittels Laser im Rahmen einer Periimplantitistherapie, je Implantat"
"635","Keimreduktion in einer Zahnfleischtasche mittels Ozon"
"636","Kontrolle des Übungserfolges, mehr als dreimal innerhalb eines Jahres"
"637","Lokale Fluoridierung, mehr als viermal innerhalb eines Jahres"
"638","Mundhygienestatus, mehr als einmal innerhalb eines Jahres"
"639","Parodontale, antibakterielle, fotodynamische Therapie, je Parodontium"
"640","Desensibilisierung hyperdolenter Zahnflächen bei gleichzeitiger Beeinflussung der pulpalen Hämodiffusion mittels Laser, je Zahn"
"641","Professionelle Ernährungsanamnese und Beratung"
"642","Dentinflächenentkeimung und -konditionierung mittels Laser"
"643","Reinigung und Eingliederung einer Prothese nach Prothesenreinigung und Politur"
"644","Professionelle Zahnreinigung an Verbindungselementen, Stegen, Geschieben"
"646","Bestimmung der Pufferkapazität"
"647","Kontrolle eines Medikamententrägers"
