"nid","title"
"1037","0001 Modell aus Hartgips"
"1048","2001 Wurzelstift gegossen"
"1597","5001 Lötung 1"
"1598","0002 Modell aus Superhartgips"
"1599","0003 Okklusionsmodell"
"1600","0004 Modell nach Abformgerät"
"1601","0005 Modell für Modellguss"
"1602","0006 Zahnkranz ausgießen"
"1603","0007 Kontrollmodell"
"1604","0008 Modell für Facette"
"1605","0009 Modell aus Kunststoff"
"1606","0010 Spezialmodell"
"1607","0011 Modell aus feuerfester Masse"
"1608","0012 Teilmodell aus feuerfester Masse"
"1609","0014 Lötmodell aus feuerfester Masse"
"1610","0019 Frässockel"
"1611","0020 Remontage-Model"
"1612","0022 Okklusionsmodell für Sägesegmente"
"1613","0023 Modell für Einzelstümpfe"
"1614","0026 Modell nach Funktionsabdruck"
"1615","0103 Modellsegment sägen"
"1616","0104 Stumpf aus Superhartgips"
"1617","0105 Stumpf aus Kunststoff"
"1618","0112 Stumpf aus feuerfester Masse"
"1619","0114 Zweitstumpf aus Superhartgips"
"1620","0115 Zweitstumpf aus Kunststoff"
"1621","0117 Kunststoffstumpf festsitzend"
"1622","0201 Stumpfabdruck galvanisieren"
"1623","0205 Abdruck galvanisieren"
"1624","0211 Abdruckmanschette"
"1625","0212 Dowel-Pin setzen"
"1626","0213 Ausblocken eines Stumpfes"
"1627","0214 Reponieren eines Stumpfes"
"1628","0215 Zweitstumpfübertragung in Arbeitsmodell"
"1629","0216 Stumpf vorbereiten"
"1630","0217 Stumpf unter Mikroskop vorbereiten"
"1631","0221 Hilfsteil in Abdruck"
"1632","0222 Modellergänzung aus Kunststoff"
"1633","0223 Zahnfleischmaske, abnehmbar"
"1634","0224 Modellimplantat repositionieren"
"1635","0225 Implantatpfosten auf Modellierimplantat aufschrauben"
"1636","5002 Lötung 2"
"1637","5003 Lötung 3"
"1638","0231 Stumpfmodell aus Metall für galvanischen Aufbau"
"1639","5004 Lötung 4"
"1640","5005 Lötung 5"
"1641","0241 Dublieren eines Modells oder Modellteils"
"1642","0243 Dublieren eines Einzelstumpfes"
"1643","0251 Angeliefertes Modell untersockeln"
"1644","0252 Angeliefertes Modell oder Zahnkranz bearbeiten"
"1645","0253 Split-Cast-Sockel an Modell"
"1646","0301 Zahn vermessen"
"1647","0302 Modell vermessen"
"1648","0303 Modell ausblocken"
"1649","0304 Zahn radieren"
"1650","0306 Abdecken eines Kieferteiles"
"1651","0307 Radieren des Abschlussrandes"
"1652","0308 Radieren nach System"
"1653","0401 Montage eines Modellpaares in Fixator"
"1654","0402 Modellmontage in Mittelwertartikulator I"
"1655","0403 Modellmontage in Mittelwertartikulator II"
"1656","0404 Modellmontage in individuellen Artikulator I"
"1657","0405 Modellmontage in individuellen Artikulator II"
"1658","0406 Modellmontage in individuellen Artikulator III"
"1659","0408 Montage eines Gegenkiefermodelles"
"1660","0501 Übertragungslehre für Zweitmontage"
"1661","0511 Mehraufwand für Einstellen nach Zentrikregistrat"
"1662","0521 Auswerten eines Registrates"
"1663","0522 Frontzahnführungsteller individuell"
"1664","0523 Pfeilwinkel auf Frontzahnführungsteller übertragen"
"1665","0531 Zusatzaufwand für Einstellen nach Remontage"
"1666","0601 Modellpaar trimmen, okklusionsbezogen"
"1667","0602 Modellpaar sockeln, dreidimensional"
"1668","0603 Modellpaar sockeln, dreidimensional, in Kunststoff-Form"
"1669","0604 Modellpaar in Gipssockel fixieren"
"1670","0701 Versand je Versandgang"
"1671","0702 Sonderversand oder Fahrtkosten"
"1672","0703 Depotführung Zähne"
"1673","0704 Depotführung Legierung"
"1674","0706 Foto- oder Video-Dokumentation"
"1675","0710 Eilterminzuschlag"
"1676","0711 Artikulator teiladjustierbar ausleihen"
