"nid","title"
"1055","1.01.01.0 Modell RA"
"1058","2.01.01.0 Stiftaufbau, indirekt"
"1060","8.01.01.0 Teilunterfütterung"
"1062","4.01.01.0 Metallbasis OK"
"1070","5.01.01.0 Vorlötung"
"1071","5.01.02.0 Lötung, einfach"
"1072","5.01.03.0 Lötung, aufwendig"
"1073","5.01.04.0 Lötung nach Brand"
"1074","5.02.01.0 Lötfreie Verbindung, Sekundärteil an Basis"
"1075","5.02.02.0 Klebefügung"
"1076","1.01.02.0 Modell FUM"
"1077","1.01.03.0 Modell KSPG"
"1078","1.01.04.0 Modell HFL"
"1079","1.01.05.0 Modell RG"
"1080","1.01.06.0 Modell RK"
"1081","5.02.03.0 Punkt-Laserschweißverbindung, Gussmetall"
"1082","1.01.07.0 Modell GKRP"
"1083","5.02.04.0 Flächen-Laserschweißverbindung, Gussmetall"
"1084","1.01.08.0 Modell K"
"1085","1.01.09.0 Modell ZTG"
"1086","5.02.05.0 Laserschweißverbindung, Draht"
"1087","1.01.10.0 Modell ETK"
"1088","5.02.06.0 Laserschweißverbindung, Hilfs- und Fertigteile"
"1089","1.01.11.0 Modell V"
"1091","1.01.12.0 Modell S"
"1092","1.02.01.0 Pin setzen, je Segment"
"1093","5.02.07.0 Plasmaschweißverbindung"
"1094","1.02.02.0 Segment herstellen und bearbeiten"
"1095","1.02.03.0 Stumpfsegment bearbeiten"
"1096","5.02.08.0 Sinterfügung"
"1097","5.03.01.0 Deckgold aufbrennen"
"1098","5.03.02.0 Bonder aufbrennen"
"1100","5.03.03.0 Keramikfläche ätzen"
"1101","1.03.01.0 Einzelstumpf aus Superhartgips"
"1102","1.03.02.0 Einzelstumpf aus Kunststoff"
"1103","1.03.03.0 Einzelstumpf aus feuerfester Masse"
"1104","1.03.04.0 Einzelstumpf aus Metall"
"1105","1.04.01.0 Modell dublieren"
"1106","1.04.02.0 Einzelstumpf galvanisieren"
"1107","1.04.03.0 Einzelstumpf dublieren"
"1108","1.04.04.0 Einzelstumpf reponieren"
"1109","1.04.05.0 Hilfsteil reponieren"
"1110","1.04.06.0 Zahnfleischmaske, je Segment"
"1111","1.04.07.0 Band remontieren u. auswachsen"
"1112","1.05.01.0 Präzisionskontrollsockel"
"1113","1.05.02.0 Modellzahn / Element radieren"
"1114","1.05.03.0 Kieferkamm für Verblendung vorbereiten"
"1115","1.05.04.0 Modellpaar trimmen"
"1116","1.05.05.0 Modellzahn diagnostisch bearbeiten"
"1117","1.05.06.0 Modellzahn diagnostisch bewegen"
"1118","1.05.07.0 Angeliefertes Modell bearbeiten"
"1119","1.05.08.0 Radieren nach System"
"1120","1.05.09.0 Abdecken von Kieferteilen, je Kiefersegment, Sattel"
"1121","1.05.10.0 KFO-Modell vorbereiten"
"1122","1.05.11.0 Modellvorbereitung für Platzhalter"
"1123","1.06.01.0 Basis aus Kunststoff, partiell"
"1124","1.06.02.0 Basis aus Kunststoff total, für Bisswall"
"1125","1.06.03.0 Basis aus Kunststoff, für totale Aufstellung"
"1126","1.06.04.0 Zentrikplatte"
"1127","5.03.04.0 Keramikfläche konditionieren"
"1128","1.06.05.0 Individueller Löffel"
"1129","5.03.05.0 Metallfläche konditionieren"
"1130","5.03.06.0 Metallbasisteil konditionieren, je ersetztem Zahn"
"1131","1.06.06.0 Funktionslöffel"
"1132","1.06.07.0 Konstruktionsbissplatte"
"1133","1.07.01.0 Bisswall Wachs, je Sattel"
"1134","5.03.07.0 Compositefläche konditionieren"
"1135","1.07.02.0 Bisswall Wachs, total"
"1136","1.07.03.0 Bisswall Kunststoff, je Sattel"
"1137","1.07.04.0 Bisswall Kunststoff, total"
"1138","6.01.01.0 Grundeinheit, Aufstellung für Kunststoffbasis"
"1139","1.07.05.0 Bisswall konturieren nach System"
"1140","1.07.06.0 Registrierbehelfe montieren"
"1141","6.01.02.0 Leistungseinheit, Aufstellung Kunststoffbasis, je weiterer Sattel"
"1142","1.07.07.0 Mehraufwand an Löffel für Defektversorgung"
"1143","1.07.08.0 Silikonunterschichtung an Basis"
"1144","1.08.01.0 Hilfsteil an Basis"
"1145","6.01.03.0 Leistungseinheit, Aufstellung Kunststoffbasis, je Zahn"
"1146","1.08.02.0 Kamingestaltung für Implantatabformung"
"1147","1.08.03.0 Präfixierung der Implantatabformpfosten"
"1148","6.01.04.0 Grundeinheit, Aufstellung auf Metallbasis"
"1149","1.08.04.0 Bohrhülse platzieren"
"1150","1.08.05.0 Radioopakebeschichtung"
"1151","6.01.05.0 Leistungseinheit, Aufstellung Metallbasis, je weiterer Sattel"
"1152","1.08.06.0 Umarbeitung einer Röntgen- oder Bohrhilfe"
"1153","1.08.07.0 Diagnostische Aufstellung"
"1154","6.01.06.0 Leistungseinheit, Aufstellung Metallbasis, je Zahn"
"1155","1.08.08.0 Diagnostische Aufstellung in Kunststoff"
