"nid","title"
"1027","BEL2 Testinhalt"
"1030","Test 20150915"
"1033","Test 20150915 LH"
"1038","001 0 Modell"
"1041","301 0 Aufstellung Grundeinheit, je Kiefer"
"1042","401 0 Aufbissschiene mit adjustierter Oberfläche"
"2318","001 8 Modell bei Implantatversorgung"
"2319","002 1 Doublieren eines Modells"
"2320","002 2 Platzhalter in Abdruck einfügen"
"2321","002 3 Weitere Maßnahmen zur Modellherstellung -Verwendung von Kunststoff"
"2322","002 4 Galvanisieren oder Metallisieren"
"2323","003 0 Set-up, je Segment"
"2324","005 1 Modell zur Stumpfherstellung - Sägemodell"
"2325","005 2 Modell zur Stumpfherstellung - Einzelstumpfmodell"
"2326","005 3 Modell zur Stumpfherstellung - Modell nach Überabdruck"
"2328","101 3 Wurzelstiftkappe"
"2329","102 1 Vollkrone, Metall"
"2330","005 4 Set-up-Modell für KFO"
"2331","005 5 Modell zur Stumpfherstellung - Fräsmodell"
"2332","102 2 Teilkrone, Metall"
"2333","006 0 Zahnkranz"
"2334","102 3 Flügel für Adhäsivbrücke, je Flügel"
"2335","007 0 Zahnkranz sockeln"
"2336","011 1 Modellpaar trimmen"
"2337","102 4 Krone für vestibuläre Verblendung"
"2338","011 2 Einstellen in Fixator"
"2339","102 6 Vollkrone/Metall bei Implantatversorgung"
"2340","102 8 Krone für vestibuläre Verblendung bei Implantatversorgung"
"2341","012 0 Einstellen in Mittelwertartikulator"
"2342","012 8 Mittelwertartikulator bei Implantatversorgung"
"2343","020 1 Basis für Vorbissnahme"
"2344","013 0 Modellpaar sockeln"
"2345","020 2 Basis aus thermoplastischem Material mit Bisswall aus Wachs für Konstruktionsbissnahme"
"2346","103 1 Vorbereiten Krone"
"2347","021 1 Basis aus Kunststoff (ohne Bisswall) - Individueller Löffel"
"2348","021 2 Basis aus Kunststoff (ohne Bisswall) - Funktionslöffel"
"2349","021 3 Basis für Bissregistrierung"
"2350","021 4 Basis für Stützstiftregistrierung"
"2351","021 5 Basis für Aufstellung"
"2352","021 6 Basis für Bissregistr. bei Implantatversorgung"
"2353","021 8 Basis für Aufstellung bei Implantatversorgung"
"2354","022 0 Bisswall"
"2355","022 8 Bisswall bei Implantatversorgung"
"2356","023 0 Registrierplatte und -stift auf Basen"
"2357","024 0 Übertragungskappe Kunststoff / Metall"
"2358","031 0 Provisorische Krone / Brückenglied"
"2359","032 0 Formteil"
"2360","201 0 Metallbasis"
"2364","202 1 Einarmige gegossene Halte-, Stütz- oder Verbindungselemente"
"2365","202 5 Einarmige gegossene-, Stütz- oder Verbindungselemente -  Kralle"
"2366","202 6 Einarmige gegossene Halte-, Stütz- oder Verbindungselemente - Ney-Stiel"
"2367","202 7 Einarmige gegossene Halte-, Stütz- oder Verbindungselemente - Auflage"
"2368","202 8 Einarmige gegossene Halte-, Stütz- oder Verbindungselemente - Umgehungsbügel bei Diastema"
"2370","203 1 Zweiarmige gegossene Haltevorrichtung"
"2375","204 1 Zweiarmige gegossene Halte- und Stützvorrichtung mit Auflage"
"2381","205 0 Zweiarmige gegossene Haltevorrichtung - Bonwillklammer"
"2382","208 1 Rückenschutzplatte"
"2383","208 2 Metallzahn, gegossen"
"2384","208 3 Metallkaufläche, gegossen"
"2385","210 0 Lösungshilfe für Kombinationszahnersatz"
"2386","211 0 Unterfütterbarer Abschlussrand einer Oberkiefer - Metallbasis"
"2387","212 0 Zuschlag für einzeln gegossene Klammer(n)"
"2388","301 8 Aufstellung Grundeinheit, je Kiefer bei Implantatversorgung"
"2389","302 0 Aufstellung auf Wachs- oder Kunststoffbasis, je Zahn"
"2390","302 8 Aufstellung auf Wachsbasis, je Zahn bei Implantatversorgung"
"2391","303 0  Aufstellung auf Metallbasis, je Zahn"
"2392","341 0 Übertragung einer Aufstellung auf Metallbasis, je Zahn"
"2393","361 0 Fertigstellung Grundeinheit"
"2394","361 8 Fertigstellung Grundeinheit, bei Implantatversorgung"
"2395","362 0 Fertigstellung einer Prothese, je Zahn"
"2396","362 8 Fertigstellung einer Prothese, je Zahn bei Implantatversorgung"
"2400","380 0 Einfache gebogene Halte- /Stützvorrichtung"
"2404","381 0 Sonstige gebogene Halte- /Stützvorrichtung"
"2407","382 1 Verarbeitung von Weichkunststoff"
"2408","382 2 Verarbeitung von Sonderkunststoff"
"2409","383 0 Herstellung eines Zahnes aus zahnfarbenem Kunststoff oder Komposit"
"2411","401 0 Aufbissbehelf mit adjustierter Oberfläche"
"2414","402 0 Aufbissbehelf ohne adjustierte Oberfläche"
"2417","403 0 Umarbeiten zum Aufbissbehelf"
"2418","404 0 Semipermanente Schiene aus Metall, je Zahn"
"2420","103 2 Krone / Brückenglied einarbeiten"
"2421","103 3 Stiftaufbau in vorhandene Krone einarbeiten"
"2422","701 0 Basis für Einzelkiefergerät"
"2423","104 0 Angelieferte Modellation für Stiftaufbau gießen"
"2424","702 0 Basis für bimaxilläres Gerät"
"2426","703 0 Schiefe Ebene"
"2427","105 0  Stiftaufbau"
"2428","704 0 Vorhofplatte"
"2429","705 0 Kinnkappe"
"2430","710 0 Aufbiss"
"2431","711 0 Abschirmelement"
"2432","712 1 Weichkunststoff KFO"
"2433","712 2 Sonderkunststoff KFO"
"2434","720 0 Schraube einarbeiten"
"2435","110 0 Brückenglied, Metall"
"2436","721 0 Spezial-Schraube einarbeiten"
"2437","120 0 Teleskopierende Krone"
"2438","722 0 Trennen einer Basis"
"2439","730 0 Labialbogen"
"2440","732 0 Labialbogen intermaxillär"
"2441","733 0 Feder, offen"
"2442","734 0 Feder, geschlossen"
"2443","740 0 Verbindungselement intramaxillär"
"2444","741 0 Verbindungselemente intermaxillär"
"2445","742 0 Verankerungselement"
"2446","743 0 Einzelelement einarbeiten"
"2447","120 1 Teleskopierende Primär- oder Sekundärkrone"
"2448","744 0 Metallverbindung KFO"
"2450","750 0 Einarmiges Halte- oder Abstützelement, je Zahn"
"2451","751 0 Mehrarmiges Halte- oder Abstützelement, je Zahn"
"2452","861 0 Grundeinheit/lnstandsetzung KFO oder Aufbissbehelf"
"2453","862 0 Leistungseinheit – Einfügen Regulierungs- oder Halteelement"
"2454","863 0 Leistungseinheit – Erneuerung eines Verbindungselementes intermaxillär"
"2455","133 1 Individuelle Verbindungsvorrichtung - Individuelles Geschiebe"
"2456","134 1 Konfektions-Geschiebe"
"2457","134 3 Konfektions-Anker"
"2458","801 0 Grundeinheit für Instandsetzung und/oder Erweiterung einer Prothese"
"2459","801 8 Grundeinheit für  Instandsetzung und/oder Erweiterung einer implantatgestützten Prothese"
"2460","802 1 Leistungseinheit – Sprung"
"2461","802 2 Leistungseinheit – Bruch"
"2462","802 3 Leistungseinheit – Einarbeiten eines Zahnes"
"2463","802 4 Leistungseinheit – Basisteil Kunststoff"
"2464","802 5 Leistungseinheit – Halte- und/oder Stützvorrichtung einarbeiten"
"2465","802 6 Leistungseinheit – Rückenschutzplatte einarbeiten"
"2466","802 7 Leistungseinheit – Kunststoffsattel lösen und wieder befestigen"
"2467","803 0 Retention, gebogen"
"2468","804 0 Retention, gegossen"
"2469","806 0 Gegossenes Basisteil"
"2470","807 0 Metallverbindung bei Instandsetzung/Erweiterung"
"2471","134 7 Primär/-Sekundärteil/Konfektions-Anker"
"2472","134 9 Wiederbefestigen eines Sekundärteiles"
"2473","136 0 Gefrästes Lager"
"2474","137 0 Schubverteilungsarm"
"2475","155 0 Konditionierung je Zahn/Flügel"
"2476","160 0 Vestibuläre Verblendung Kunststoff"
"2477","161 0 Zahnfleisch aus Kunststoff"
"2478","162 0 Vestibuläre Verblendung Keramik"
"2479","162 8 Vestibuläre Verblendung Keramik bei Implantatversorgung"
"2480","163 0 Zahnfleisch aus Keramik"
"2481","163 8 Zahnfleisch aus Keramik bei Implantatversorgung"
"2482","164 0 Vestibuläre Verblendung Komposite"
"2483","808 0 Teilunterfütterung einer Basis"
"2484","808 8 Teilunterfütterung einer Basis, implantatgestützt"
"2485","809 0 Vollständige Unterfütterung einer Basis"
"2486","809 8 Vollständige Unterfütterung einer implantatgestützten Basis"
"2487","810 0 Prothesenbasis erneuern"
"2488","810 8 Prothesenbasis erneuern bei Implantatversorgung"
"2489","864 0 KFO-Basis erneuern"
"2490","813 0 Einfaches Auswechseln eines Konfektionsteil"
"2491","820 0 Reparatur einer Krone/Flügel/Brückenglied"
"2492","165 0 Zahnfleisch aus Komposite"
"2493","820 8 Reparatur einer implantatgestützte Krone"
"2494","870 0 Remontieren KFO-Gerät"
"2495","933 0 Versandkosten"
"2496","933 8 Versandkosten bei Implantatversorgung"
"2497","970 0 Verarbeitungsaufwand Nichtedelmetall-Legierung"
"2498","150 0 Metallverbindung nach keramischen Brand"
"2583","384 0 Zahn zahnfarben hinterlegt"
"2627","731 0 Labialbogen modifiziert"
"2891","380 5 gebogene Auflage"
"3013","001 5 Modell UKPS"
"3014","002 5 Doublieren eines Modells Unterkieferprotrusionsschiene"
"3015","011 5 Einstellen in Fixator Unterkieferprotrusionsschiene"
"3021","012 5 Einstellen in Mittelwertartikulator Unterkieferprotrusionsschiene"
"3022","020 5 Vorbereiten einer Bissgabel Unterkieferprotrusionsschiene "
"3023","021 7 Individueller Löffel Unterkieferprotrusionsschiene"
"3024","933 5 Versandkosten Unterkieferprotrusionsschiene"
"3025","501 0 Basen für eine Unterkieferprotrusionsschiene"
"3026","502 0 Vestibuläre Protrusionsgleitfläche Unterkieferprotrusionsschiene"
"3027","510 0 Befestigungselement Protrusionselement UKPS"
"3028","511 0 Protrusionselement für Unterkieferprotrusionsschiene"
"3029","520 0 Befestigungselement Mundöffnungsbegrenzung UKPS"
"3030","521 0 Einfaches gebogenes Halteelement UKPS"
"3032","808 5 Teilunterfütterung einer Basis Unterkieferprotrusionsschiene"
"3033","850 0 Grundeinheit Instandsetzung / Erweiterung einer Unterkieferprotrusionsschiene"
"3034","851 1 Leistungseinheit Erneuerung Basis Unterkieferprotrusionsschiene"
"3035","851 2 Leistungseinheit je Sprung / Bruch Unterkieferprotrusionsschiene"
"3036","851 3 Leistungseinheit Basisteil Kunststoff Unterkieferprotrusionsschiene"
"3037","851 4 Leistungeinheit Halte- und / oder Stützvorrichtung einarbeiten Unterkieferprotrusionsschiene"
