"nid","title"
"1","13a Präparieren einer Kavität, Füllen mit plastischem Füllmaterial einschließlich Unterfüllung, Anlegen einer Matrize oder die Benutzung anderer Hilfsmittel zur Formung der Füllung und Polieren, einflächig"
"5","13b Präparieren einer Kavität, Füllen mit plastischem Füllmaterial einschließlich Unterfüllung, Anlegen einer Matrize oder die Benutzung anderer Hilfsmittel zur Formung der Füllung und Polieren, zweiflächig"
"15","01k Kieferorthopädische Untersuchung"
"16","02 Hilfeleistung Ohnmacht oder Kollaps"
"17","7b Vorbereitende Maßnahmen, Abformung, Bissnahme für das Erstellen von Modellen des Ober- und Unterkiefers zur diagnostischen Auswertung und Planung sowie schriftliche Niederlegung"
"19","01 Eingehende Untersuchung"
"20","2 schriftliche Niederlegung eines Heil- und Kostenplan"
"21","Ä1 Beratung"
"23","K1 Eingliedern eines Aufbissbehelf mit adjustierter Oberfläche"
"24","K2 Eingliedern eines Aufbissbehelfs zur Unterbrechung der Okklusionskontakte ohne adjustierte Oberfläche"
"25","K3 Umarbeitung einer vorhandenen Prothese zum Aufbissbehelf zur Unterbrechung der Okklusionskontakte mit adjustierter Oberfläche"
"26","K4 Semipermanente Schienung unter Anwendung der Ätztechnik"
"27","K6 Wiederherstellung und/oder Unterfütterung eines Aufbissbehelfs"
"28","K7 Kontrollbehandlung, ggf. mit einfachen Korrekturen des Aufbissbehelfs oder der Fixierung"
"29","K8 Kontrollbehandlung mit Einschleifen des Aufbissbehelfs oder der Schienung (subtraktive Methode)"
"30","K9 Kontrollbehandlung mit Aufbau einer neuen adjustierten Oberfläche (additive Methode)"
"31","101a Maßnahmen zur Weichteilstützung zum Ausgleich oder zum Verschluss von Defekten im Bereich des Kiefers, bei vorhandenem Restgebiss"
"32","101b Maßnahmen zur Weichteilstützung zum Ausgleich oder zum Verschluss von Defekten im Bereich des Kiefers, bei zahnlosem Kiefer"
"33","102 Eingliedern eines Obturators zum Verschluss von Defekten des weichen Gaumens"
"34","103a Resektionsprothesen: Eingliedern einer temporären Verschlussprothese nach Resektion oder bei großen Defekten des Oberkiefers"
"35","103b Ergänzungsmaßnahmen zur Resektionsprothese, Ergänzungsmaßnahmen im Anschluss an Leistungen nach Buchstabe a)"
"36","103c Resektionsprothesen: Eingliedern einer Dauerprothese"
"37","104a Eingliedern einer Prothese oder Epithese zum Verschluss extraoraler Weichteildefekte oder zum Ersatz fehlender Gesichtsteile kleineren Umfanges "
