"nid","title"
"3098","BU Leistung Test"
"3101","01 Schriftliche Aufstellung eines Heil- und Kostenplanes zur prothetischen Versorgung - nach Befundaufnahme und ggf. Auswertung von Modellen "
"3119","02 Vorbereiten eines zerstörten Zahnes zur Aufnahme einer Krone durch gegossenen Stiftaufbau oder Schraubenaufbau, mit Verankerung im Wurzelkanal"
"3121","03a Schutz eines beschliffenen Zahnes durch eine abnehmbare Hülse"
"3122","03b Schutz eines beschliffenen Zahnes und Sicherung der Kaufunktion durch eine provisorische Krone oder provisorischen Ersatz eines fehlenden Zahnes durch ein Brückenglied"
"3123","04a Versorgung eines Einzelzahnes durch eine Krone (Tangentialpräparation)"
"3124","04b Versorgung eines Einzelzahnes durch eine Krone (Hohlkehlpräparation)"
"3125","04c Versorgung eines Einzelzahnes durch eine Krone (zirkuläre Stufenpräparation)"
"3127","05 Schutz eines beschliffenen Zahnes und Sicherung der Kaufunktion durch eine provisorische Krone mit Stiftverankerung"
"3128","06 Teilleistungen bei nicht vollendeten Leistungen nach Nrn. 2 und 4 "
"3129","08 Beseitigung grober Artikulations- und Okklusionsstörungen vor Eingliederung von Prothesen und Brücken"
"3130","09 Veränderung der Kieferhaltung mittels Bissführungsplatte"
"3131","10a Versorgung eines Lückengebisses durch eine Brücke - je Pfeilerzahn als Brückenanker (Tangentialpräparation)) "
"3132","07a Wiedereinsetzen einer Krone, einer Stiftkrone, einer Facette oder dergleichen"
"3133","07b Erneuerung einer Facette, einer Verblendschale oder dergleichen"
"3134","07c Abnahme und Wiederbefestigung einer provisorischen Krone nach der Nr. 3 b oder 5"
"3135","10b Versorgung eines Lückengebisses durch eine Brücke - je Pfeilerzahn als Brückenanker (Hohlkehlpräparation)"
"3136","10c Versorgung eines Lückengebisses durch eine Brücke - je Pfeilerzahn als Brückenanker (zirkuläre Stufenpräparation)"
"3137","10d Versorgung eines Lückengebisses durch eine Teleskopkrone (auch Konuskrone) einschl. Fräsung"
"3138","11a Maßnahmen bei der Versorgung eines Lückengebisses mittels festsitzender oder abnehmbarer Brücke je Spanne"
"3139","11b Maßnahmen bei der Versorgung eines Lückengebisses mittels festsitzender oder abnehmbarer Brücken, je ersetztem Zahn"
"3140","13 Teilleistungen bei nicht vollendeten Leistungen nach den Nrn. 10 und 11 "
"3141","12/1 Versorgung des Lückengebisses durch zusammengesetzt- festsitzende oder abnehmbare Brücken und/oder durch kombiniert festsitzend/herausnehmbaren Zahnersatz mit Stegen einschl. Stegverbindungsvorrichtungen, je Steg"
"3142","12/2 Versorgung des Lückengebisses durch zusammengesetzt- festsitzende oder abnehmbare Brücken und/oder durch kombiniert festsitzend/herausnehmbaren Zahnersatz mit Schrauben, Federstiften oder dergleichen, je Verbindungsvorrichtung"
"3143","12/3 Versorgung des Lückengebisses durch zusammengesetzt- festsitzende oder abnehmbare Brücken und/oder durch kombiniert festsitzend/herausnehmbaren Zahnersatz mit Riegeln, Gelenken, Geschieben, Ankern, je Verbindungsvorrichtung"
"3144","14a Wiedereinsetzen einer Brücke oder festsitzenden Schiene mit 2 Ankern"
"3145","14b Wiedereinsetzen einer Brücke oder festsitzenden Schiene mit mehr als 2 Ankern"
"3146","14c Erneuerung einer Facette, einer Verblendschale oder dergleichen bei Brücken oder festsitzenden Schienen"
"3147","15a Versorgung eines Lückengebisses durch eine partielle Prothese einschl. einfacher Haltevorrichtungen zum Ersatz von 1 bis 4 fehlenden Zähnen"
"3148","15b Versorgung eines Lückengebisses durch eine partielle Prothese einschl. einfacher Haltevorrichtungen zum Ersatz von 5 bis 8 fehlenden Zähnen"
"3149","15c Versorgung eines Lückengebisses durch eine partielle Prothese einschl. einfacher Haltevorrichtungen zum Ersatz von mehr als 8 fehlenden Zähnen"
"3150","16a Versorgung eines zahnlosen Kiefers durch eine totale Prothese im Oberkiefer"
"3151","16b Versorgung eines zahnlosen Kiefers durch eine totale Prothese im Unterkiefer"
"3152","17 Abdruck mit individuellem Löffel, wenn der übliche Löffel nicht ausreicht, je Kiefer"
"3153","18 Funktionsabdruck mit individuellem Löffel, Oberkiefer"
"3154","19 Funktionsabdruck mit individuellem Löffel, Unterkiefer"
"3155","20 Intraorale Stützstiftregistrierung zur Festlegung der Zentrallage"
"3156","21 Verwendung einer Metallbasis bei einem zahnlosen Kiefer, zu den Bewertungszahlen nach Nr. 16 zusätzlich"
