"nid","title"
"1063","1.1 Erhaltungswürdiger Zahn mit weitgehender Zerstörung der klinischen Krone oder unzureichende Retentionsmöglichkeit, je Zahn"
"1064","2.1 Zahnbegrenzte Lücke mit einem fehlenden Zahn, je Lücke"
"2499","1.2 Erhaltungswürdiger Zahn mit großen Substanzdefekten, aber erhaltener vestibulärer und/ oder oraler Zahnsubstanz, je Zahn"
"2500","1.3 Erhaltungswürdiger Zahn mit weitgehender Zerstörung der klinischen Krone oder unzureichende Retentionsmöglichkeit im Verblendbereich (15-25 und 34-44), je Verblendung für Kronen (auch implantatgestützte)"
"2501","1.4 Endodontisch behandelter Zahn mit Notwendigkeit eines konfektionierten metallischen Stiftaufbaus mit herkömmlichen Zementierungsverfahren, je Zahn"
"2502","1.5 Endodontisch behandelter Zahn mit Notwendigkeit eines gegossenen metallischen Stiftaufbaus mit herkömmlichen Zementierungsverfahren, je Zahn"
"2504","2.2 Zahnbegrenzte Lücke mit zwei nebeneinander fehlenden Zähnen, je Lücke"
"2505","2.3 Zahnbegrenzte Lücke mit drei nebeneinander fehlenden Zähnen, je Kiefer"
"2506","2.4 Frontzahnlücke mit vier nebeneinander fehlenden Zähnen, je Kiefer"
"2507","2.5 An eine Lücke unmittelbar angrenzende weitere zahnbegrenzte Lücke mit einem fehlenden Zahn"
"2508","2.6 Disparallele Pfeilerzähne zur festsitzenden Zahnersatzversorgung, Zuschlag je Lücke"
"2509","2.7 Fehlender Zahn in einer zahnbegrenzten Lücke im Verblendbereich (15-25 und 34-44), je Verblendung für einen ersetzten Zahn, auch für einen der Lücke angrenzenden Brückenanker im Verblendbereich."
"2511","3.1 Zahnbegrenzte Lücken, nicht nach Nr.2.1 bis 2.5 und 4 entsprechen oder Freiendsituationen (Lückensituation II), je Kiefer"
"2512","3.2 Teleskope im reduzierten Restgebiss"
"2513","4.1 Restzahnbestand bis zu 3 Zähnen im Oberkiefer"
"2514","4.2 Zahnloser Oberkiefer"
"2515","4.3 Restzahnbestand bis zu 3 Zähnen im Unterkiefer"
"2516","4.4 Zahnloser Unterkiefer"
"2517","4.5 Notwendigkeit einer Metallbasis"
"2518","4.6 Restzahnbestand bis zu 3 Zähnen je Kiefer mit der Notwendigkeit einer dentalen Verankerung, wenn die Regelversorgung eine Kombinationsversorgung vorsieht, je Ankerzahn"
"2519","4.7 Verblendung einer Teleskopkrone im Verblendbereich (15-25 und 34-44), Zuschlag je Ankerzahn"
"2520","4.8 Restzahnbestand bis zu 3 Zähnen je Kiefer bei Notwendigkeit einer dentalen Verankerung durch Wurzelstiftkappen, je Ankerzahn"
"2521","4.9 Schwierig zu bestimmende Lagebeziehung der Kiefer bei der Versorgung mit Totalprothesen und schleimhautgetragenen Deckprothesen (Notwendigkeit einer Stützstiftregistrierung), Zuschlag je Gesamtbefund"
"2523","5.1 Lückengebiss nach Verlust von bis zu 4 Zähnen"
"2524","5.2 Lückengebiss nach Zahnverlust von 5 bis 8 Zähnen"
"2525","5.3 Lückengebiss nach Verlust von über 8 Zähnen"
"2526","5.4 Zahnloser Ober- oder Unterkiefer"
"2528","6.0 Prothetisch versorgtes Gebiss ohne Befundveränderung mit wiederherstellungsbedürftiger herausnehmbarer/ Kombinationsversorgung ohne Notwendigkeit der Abformung und ohne Notwendigkeit zahntechnischer Leistungen, auch Auffüllen von Sekundärteleskopen im"
"2529","6.1 Prothetisch versorgtes Gebiss ohne Befundveränderung mit wiederherstellungsbedürftiger herausnehmbarer/ Kombinationsversorgung ohne Notwendigkeit der Abformung, je Prothese"
"2530","6.2 Prothetisch versorgtes Gebiss ohne Befundveränderung mit wiederherstellungsbedürftiger herausnehmbarer/ Kombinationsversorgung mit Notwendigkeit der Abformung (Maßnahmen im Kunststoffbereich), auch Wiederbefestigung von Sekundärteleskopen oder anderer"
"2531","6.3 Prothetisch versorgtes Gebiss ohne Befundveränderung mit wiederherstellungsbedürftiger herausnehmbarer/ Kombinationsversorgung mit Maßnahmen im gegossenen Metallbereich, auch Wiederbefestigung von Sekundärteleskopen oder anderer Verbindungselemente an"
"2532","6.4 Prothetisch versorgtes Gebiss mit Befundveränderung mit erweiterungsbedürftiger herausnehmbarer/ Kombinationsversorgung mit Maßnahmen im Kunststoffbereich, je Prothese bei Erweiterung um einen Zahn"
"2533","6.4.1 Prothetisch versorgtes Gebiss mit Befundveränderung mit erweiterungsbedürftiger herausnehmbarer/ Kombinationsversorgung mit Maßnahmen im Kunststoffbereich, je Prothese bei Erweiterung um jeden weiteren Zahn"
"2534","6.5 Prothetisch versorgtes Gebiss mit Befundveränderung mit erweiterungsbedürftiger herausnehmbarer/ Kombinationsversorgung mit Maßnahmen im gegossenen Metallbereich, je Prothese bei Erweiterung um einen Zahn"
"2535","6.5.1 Prothetisch versorgtes Gebiss mit Befundveränderung mit erweiterungsbedürftiger herausnehmbarer/ Kombinationsversorgung mit Maßnahmen im gegossenen Metallbereich, je Prothese bei Erweiterung um jeden weiteren Zahn"
"2536","6.6 Verändertes Prothesenlager bei erhaltungswürdigem Teil-Zahnersatz, je Prothese"
"2537","6.7 Verändertes Prothesenlager bei erhaltungswürdigem totalem Zahnersatz oder schleimhautgetragener Deckprothese, je Kiefer"
"2538","6.8 Wiederherstellungsbedürftiger festsitzender rezementierbarer Zahnersatz, je Zahn"
"2539","6.9 Wiederherstellungsbedürftige Facette/Verblendung (auch wiedereinsetzbar oder erneuerungsbedürftig) im Verblendbereich an einer Krone, einem Sekundärteleskop, einem Brückenanker oder einem Brückenglied, je Verblendung"
"2540","6.10 Erneuerungsbedürftiges Primär- oder Sekundärteleskop, je Zahn"
"2541","7.1 Erneuerungsbedürftige Suprakonstruktion (vorhandenes Implantat bei zahnbegrenzter Einzelzahnlücke), je implantatgetragene Krone"
"2542","7.2 Erneuerungsbedürftige Suprakonstruktion, die über den Befund nach Nummer 7.1 hinausgeht, je implantatgetragene Krone, Brückenanker oder Brückenglied, höchstens viermal je Kiefer"
"2543","7.3 Wiederherstellungsbedürftige Suprakonstruktionen (Facette), je Facette"
"2544","7.4 Wiederherstellungsbedürftiger festsitzender rezementierbarer oder zu verschraubender Zahnersatz"
"2545","7.5 Erneuerungsbedürftige implantatgetragene Prothesenkonstruktion, je Prothesenkonstruktion"
"2546","7.6 Erneuerungsbedürftige Prothesenkonstruktion bei atrophiertem zahnlosem Kiefer, je implantatgetragenem Konnektor als Zuschlag zum Befund nach Nummer 7.5, höchstens viermal je Kiefer"
"2547","7.7 Wiederherstellungsbedürftige implantatgetragene Prothesenkonstruktion, Umgestaltung einer vorhandenen Totalprothese zur Suprakonstruktion bei Vorliegen eines zahnlosen atrophierten Kiefers, je Prothesenkonstruktion"
"2549","8.1 Befund nach Präparation eines erhaltungswürdigen Zahnes, einer Teleskopkrone oder einer Wurzelstiftkappe"
"2550","8.2 Befund nach Präparation eines erhaltungswürdigen Zahnes, einer Teleskopkrone oder einer Wurzelstiftkappe, wenn auch weitergehende Maßnahmen durchgeführt worden sind"
"2551","8.3 Befund nach Präparation der Ankerzähne einer Brücke"
"2552","8.4 Befund nach Präparation der Ankerzähne einer Brücke - weitergehende Maßnahmen durchgeführt"
"2553","8.5 Befund nach Abformung und Ermittlung der Bissverhältnisse zur Eingliederung einer Teilprothese, einer Cover-Denture-Prothese oder einer Totalprothese"
"2554","8.6 Befund nach Abformung und Ermittlung der Bissverhältnisse - weitergehende Maßnahmen durchgeführt"
"2641","Abrechnungshilfe 2019"
"2890","6.8.1 Wiederherstellungsbedürftiger festsitzender Zahnersatz je Flügel einer Adhäsivbrücke"
