"nid","title"
"213","0030 Heil- und Kostenplan"
"218","0010 Eingehende Untersuchung"
"225","0040 Heil- und Kostenplan; Kieferorthopädie/Funktionsanalyse"
"229","0050 Situationsmodell, einschl. Auswertung u. Diagnose, 1 Kiefer"
"234","0060 Situationsmodelle, einschl. Auswertung u. Diagnose, 2 Kiefer"
"239","0065 Optisch-elektronische Abformung je Kieferhälfte oder Frontzahngebiet"
"245","6000 Profil- oder Enfacefotografie einschließlich kieferorthopädischer Auswertung"
"246","6010 Anwendung von Methoden zur Analyse von Kiefermodellen (dreidimensionale, graphische oder metrische Analysen, Diagramme), je Leistung nach GOZ-Nummer 0060"
"247","6020 Anwendung von Methoden zur Untersuchung des Gesichtsschädels (zeichnerische Auswertung von Röntgenaufnahmen des Schädels, Wachstumsanalysen)"
"248","6030 Maßnahmen zur Umformung eines Kiefers einschließlich Retention, geringer Umfang"
"249","6040 Maßnahmen zur Umformung eines Kiefers einschließlich Retention, mittlerer Umfang"
"250","6050 Maßnahmen zur Umformung eines Kiefers einschließlich Retention, hoher Umfang"
"251","6060 Maßnahmen zur Einstellung der Kiefer in den Regelbiss während der Wachstumsphase, einschließlich Retention, geringer Umfang"
"252","6070 Maßnahmen zur Einstellung der Kiefer in den Regelbiss während der Wachstumsphase einschließlich Retention, mittlerer Umfang"
"253","6080 Maßnahmen zur Einstellung der Kiefer in den Regelbiss während der Wachstumsphase einschließlich Retention, hoher Umfang"
"254","6090 Maßnahmen zur Einstellung der Okklusion durch alveolären Ausgleich bei abgeschlossener Wachstumsphase einschließlich Retention, je Kiefer"
"255","6100 Eingliederung Klebebracket zur Aufnahme orthodontischer Hilfsmittel"
"256","6110 Entfernung eines Klebebrackets einschließlich Polieren und ggf. Versiegelung der Zähne"
"257","6120 Eingliederung eines Bandes zur Aufnahme orthodontischer Hilfsmittel"
"258","6130 Entfernung eines Bandes einschließlich Polieren und ggf. Versiegelung des Zahnes"
"259","6140 Eingliederung Teilbogens"
"260","6150 Eingliederung eines ungeteilten Bogens, alle Zahngruppen umfassend, je Kiefer"
"261","6160 Eingliederung einer intra-/extraoralen Verankerung (z.B. Headgear)"
"262","6170 Eingliederung einer Kopf-Kinn-Kappe"
"263","6180 Maßnahmen zur Wiederherstellung der Funktionsfähigkeit und/oder Erweiterung von herausnehmbaren Behandlungsgeräten einschließlich Abformung und Wiedereinfügen, je Kiefer und je Sitzung einmal berechnungsfähig"
"264","6190 Beratendes und belehrendes Gespräch mit Anweisungen zur Beseitigung von schädlichen Gewohnheiten und Dysfunktionen"
"265","6200 Eingliedern von Hilfsmitteln zur Beseitigung von Funktionsstörungen (z. B. Mundvorhofplatte) einschließlich Anweisung zum Gebrauch und Kontrollen"
"266","6210 Kontrolle des Behandlungsverlaufs oder Weiterführung der Retention einschließlich kleiner Änderungen der Behandlungs- oder Retentionsgeräte, Therapiekontrolle der gesteuerten Extraktion, je Sitzung"
"267","6220 Vorbereitende Maßnahmen zur Herstellung von kieferorthopädischen Behandlungsmitteln (z.B. Abformung, Bissnahme), je Kiefer"
"268","6230 Eingliederung von kieferorthopädischen Behandlungsmitteln, je Kiefer"
"269","6240 Maßnahmen zur Verhütung von Folgen vorzeitigen Zahnverlustes (Offenhalten einer Lücke)"
"270","6250 Beseitigung des Diastemas. als selbstständige Leistung"
