"nid","title"
"11","2. Zweck"
"22","1. Gegenstand"
"795","15. Vorrang von Schonung und Erhaltung"
"796","16. Notwendigkeit von Zahnkronen"
"797","17. Keine Notwendigkeit von Zahnkronen"
"798","18. Konfektionierte Kronen"
"799","19. Versorgung mit einer provisorischen Krone"
"800","20. Metallische Voll- und Teilkronen und vestibuläre Verblendungen"
"803","3. Informationspflicht der Krankenkassen"
"804","4. Anspruch auf Zahnersatz, Zahnkronen und Suprakonstruktionen"
"805","5. Mehrkosten"
"806","6. Ziel der Versorgung mit Zahnersatz"
"807","7. Notwendigkeit von Zahnersatz"
"808","8. Art und Umfang des Zahnersatzes"
"809","9. Mitwirkung des Patienten"
"810","10. Erhebung des Gesamtbefundes und Dokumentation"
"811","11. Notwendige konservierend-chirurgische und parodontale Behandlung des Restgebisses"
"812","12. Immediatersatz"
"813","13. Interimsersatz"
"814","14. Werkstoffverwendung nach MPG"
"815","21. Indikation"
"816","22. Notwendigkeit von Brücken"
"817","23. Keine Notwendigkeit von Brücken"
"818","24. Adhäsiv befestigte einspannige Brücken im Frontzahnbereich mit Metallgerüst"
"819","25. Metallische Voll- und Teilkronen und vestibuläre Verblendungen"
"820","26. Disparallele Pfeiler"
"821","27. Halte- und Stützvorrichtungen"
"822","28. Teilprothesen"
"823","29. Restgebiss ohne parodontale Abstützungsmöglichkeit"
"824","30. Totale Prothesen"
"825","31. Abdruck mit individuellem Löffel"
"826","32. Funktionsabdruck"
"827","33. Funktionsanalytische und funktionstherapeutische Leistungen "
"828","34. Intraorale Stützstiftregistrierungen "
"829","35. Kombinationsversorgung"
"830","36. Suprakonstruktionen"
"831","37. Zahnbegrenzte Einzelzahnlücken "
"832","38. Leistungen im Zusammenhang mit Implantaten"
"833","39. Behandlungsplanung"
"836","2. Maßnahmen zur Verhütung und Heilung von Krankheiten"
"837","3. Maßnahmen zu kosmetischen Zwecken"
"838","4. Zweckmäßige Verwendung der Mittel"
"839","5. Tätigkeit auf Veranlassung eines Arztes"
"840","6. Maßnahmen der Praxishygiene und des Infektionsschutzes"
"841","7. Diagnostischer und therapeutischer Wert"
"842","8. Richtlinienwissen der Vertreter und Assistenten"
"843","1. Befunderhebung und Diagnose einschließlich Dokumentation"
"844","1. Bestimmung für vertragszahnärztliche Versorgung"
"845","2. Durchführung aufgrund zahnärztlicher Indikation"
"846","3. Gesundheitlicher Nutzen vs. Strahlenrisiko"
"847","4. Beschaffung von Röntgenaufnahmen durch nachbehandelnden Zahnarzt"
"848","5. Anwendung der Röntgenverordnung"
"849","1. Vorbeugung und Behandlung der Gingivitis, Parodontitis und Karies"
"850","2. Ursachengerechte, zahnsubstanzschonende und präventionsorientierte Behandlung"
"851","3. Vorgehen der konservierenden Behandlung"
"852","4. Bestimmungen zu Füllungsmaterialien"
